H,Mz
0.0,-0.0
0.01,0.04406063290818303
0.02,0.08804831130223058
0.03,0.13188918453639428
0.04,0.1755095458614995
0.05,0.21883220532158965
0.06,0.2617993637985787
0.07,0.3043237918449585
0.08,0.3463338892920136
0.09,0.38776072583796073
0.1,0.42852099911625774
0.11,0.4685579512799832
0.12,0.5077856652658617
0.13,0.5461285006775684
0.14,0.5835210140214193
0.15,0.6198302838810504
0.16,0.6551567957817732
0.17,0.6892397408063604
0.18,0.722090692152503
0.19,0.7536104047950275
0.2,0.7836965437630777
0.21,0.8123495950732316
0.22,0.8394357744967402
0.23,0.8648711932862848
0.24,0.8885754615773581
0.25,0.910464657890287
0.26,0.930487665252299
0.27,0.9485103449028195
0.28,0.9644138783830207
0.29,0.9779276720306886
0.3,0.9894489334554979
0.31,0.9983036697923952
0.32,1.0044699469446485
0.33,1.007714575181668
0.34,1.00774700892054
0.35000000000000003,1.0041043594754864
0.36,0.9961463304076222
0.37,0.982739350689034
0.38,0.9616566903320538
0.39,0.8555068670133334
0.4,0.41344512273476897
0.41000000000000003,0.43783971152228246
0.42,0.46544641186045055
0.43,0.16485217218933917
0.44,0.1908315899199349
0.45,0.2228274848661176
0.46,0.02472457245579852
0.47000000000000003,0.034380860432794265
0.48,0.048779203173634114
0.49,0.06508853505586149
0.5,0.08279885489728138
0.51,0.10162657949796079
0.52,0.12134691631482772
0.53,0.14178464087349335
0.54,0.1627878195800794
0.55,0.18418674776120036
0.56,0.20586476563919007
0.5700000000000001,0.22769852493299428
0.58,0.24957713613443058
0.59,0.27139104970619526
0.6,0.2930494589111902
0.61,0.31446689724051047
0.62,0.3355402899087241
0.63,0.3561886673818105
0.64,0.3763397631193976
0.65,0.39590318808768443
0.66,0.41482445486710146
0.67,0.43301343748766913
0.68,0.4504166452569018
0.6900000000000001,0.46696047503785965
0.7000000000000001,0.48258704939105906
0.71,0.4972199801932742
0.72,0.5108243158184603
0.73,0.5233336812972904
0.74,0.5346984532539918
0.75,0.5448332645367175
0.76,0.5537658193058461
0.77,0.561356596522419
0.78,0.5676463457997732
0.79,0.5725243717846443
0.8,0.5759665254983166
0.81,0.5779382877804399
0.8200000000000001,0.5783871965161134
0.8300000000000001,0.5772596372571566
0.84,0.47971517474569836
0.85,0.48845400333066247
0.86,0.49634466277250416
0.87,0.3445375363042747
0.88,0.1678872338748864
0.89,-0.002763732070188425
0.9,0.01253356414653922
0.91,0.028271837480748338
